,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_kl-divergence,split1_test_kl-divergence,split2_test_kl-divergence,split3_test_kl-divergence,split4_test_kl-divergence,mean_test_kl-divergence,std_test_kl-divergence,rank_test_kl-divergence,split0_test_js-divergence,split1_test_js-divergence,split2_test_js-divergence,split3_test_js-divergence,split4_test_js-divergence,mean_test_js-divergence,std_test_js-divergence,rank_test_js-divergence
0,24.412964820861816,0.20475375379388622,0.036347579956054685,0.006939477646621349,50,{'n_estimators': 50},0.7964953917977224,0.7874209283515867,0.8004621407846704,0.761285164276923,0.815012842737471,0.7921352935896747,0.01780833969697374,10,-0.0712347219973164,-0.05001320073023642,-0.04769107944287874,-0.06390798388288862,-0.053647491370991465,-0.05729889548486233,0.008906307194287847,1,-0.008995433171725527,-0.007202201509934232,-0.00781300971861601,-0.00727064313851289,-0.010039760877538353,-0.008264209683265402,0.001095982397735763,10
1,48.66184034347534,0.19589719904303377,0.058806324005126955,0.004136909848438704,100,{'n_estimators': 100},0.7967407077952804,0.7909143320908459,0.8089691863346951,0.76209167476917,0.8178013777369122,0.7953034557453806,0.01906442331673471,3,-0.07168398387085358,-0.05200783607295462,-0.049177709972199085,-0.0721922650952166,-0.053500852384184235,-0.05971252947908162,0.010079575151356197,5,-0.008081004210331042,-0.0076761511695212494,-0.009059788451292496,-0.008166536610901456,-0.006886970532864615,-0.00797409019498217,0.0007067961171495878,8
2,73.72407612800598,1.9296949711372315,0.0847780704498291,0.006542231096421804,150,{'n_estimators': 150},0.7931199412670907,0.7907961954592271,0.801635134990877,0.7607745505744927,0.8204034402603146,0.7933458525104005,0.019330115134959545,9,-0.06796760211589797,-0.05249399696803303,-0.05281279588050581,-0.06809940077633374,-0.057364716557015194,-0.05974770245955715,0.006981481355191194,6,-0.00714888587495944,-0.0076587658666896884,-0.006998285975428537,-0.008648993664733625,-0.006315213835291589,-0.007354029043420575,0.0007768618652681223,2
3,98.43835864067077,0.2533427694139811,0.09900455474853516,0.008803223085565262,200,{'n_estimators': 200},0.7952042824640033,0.787984482597738,0.8034775445350819,0.7642557308970372,0.8213270364172114,0.7944498153822144,0.01875066607196215,8,-0.06680570071346545,-0.04688200469695484,-0.046084033009916446,-0.07126062734548197,-0.05785355303013452,-0.057777183759190644,0.010185851980539536,2,-0.006790896971345405,-0.005930650311544408,-0.007178810352449112,-0.008164539589851506,-0.008341719167168337,-0.0072813232784717545,0.0008921720484036139,1
4,122.79184679985046,0.5301910037517408,0.11120738983154296,0.0019232829738740232,250,{'n_estimators': 250},0.7975715363075329,0.7894566136486361,0.8051765545969612,0.762536813750196,0.8210919429496559,0.7951666922505964,0.01936705042866311,4,-0.07068286584971513,-0.05070052409804186,-0.054943423435918154,-0.07024836516681308,-0.059180983749553745,-0.0611512324600084,0.008065307640610983,10,-0.007837264877014537,-0.007005684209496261,-0.008484365509116262,-0.007905379471445803,-0.008287270416070762,-0.007903992896628725,0.0005089493245509331,7
5,147.33754725456237,0.4647581480643077,0.13359580039978028,0.0017485471690517637,300,{'n_estimators': 300},0.7966371722983833,0.7897238237514331,0.8043573274149303,0.7623022407219309,0.8201643138812403,0.7946369756135836,0.01907776279695927,7,-0.06886795230042804,-0.04812699709909485,-0.04755314788631071,-0.07305968276042318,-0.06114791164263274,-0.0597511383377779,0.010450801478692314,7,-0.006651571044366807,-0.0068004889353064715,-0.007554190364120894,-0.008107035814626785,-0.008162133532298301,-0.007455083938143851,0.0006338627690153701,5
6,171.9352488040924,1.4242167261877905,0.1577836036682129,0.010220762178971587,350,{'n_estimators': 350},0.7981287344268317,0.7907860749044414,0.803864795308432,0.7633244346413115,0.8230190999372339,0.7958246278436502,0.0194480954664854,1,-0.06987851880315248,-0.05087774627635888,-0.04864351085606246,-0.07257880824547269,-0.056157828987027016,-0.059627282633614706,0.009819008057969687,4,-0.007033081281582511,-0.007733851481888843,-0.007752540061205277,-0.008263010572233106,-0.006419918031969281,-0.007440480285775803,0.0006430435905600423,4
7,196.21244530677797,1.48653647945848,0.18230218887329103,0.0044339902832039825,400,{'n_estimators': 400},0.7970195680447031,0.7915627262834654,0.803468267202969,0.7613956494241519,0.8220105966181694,0.7950913615146918,0.019730119248360257,5,-0.0682755461153271,-0.04906614463101451,-0.054326088938827524,-0.07469734512868315,-0.053382184604043606,-0.05994946188357918,0.009798181335405266,9,-0.00778394224255846,-0.0072573827969951805,-0.00872871033178849,-0.009947570227777383,-0.007232864026850234,-0.00819009392519395,0.0010324755594058128,9
8,261.7002817153931,60.651411962674594,0.20372362136840821,0.008177586887909228,450,{'n_estimators': 450},0.7965777786209525,0.7906933627558862,0.8059272181759946,0.7641146619995396,0.8212918497384831,0.7957209742581711,0.018883892890311785,2,-0.06954252239904055,-0.052350374305763565,-0.048742745258571016,-0.07516549862428622,-0.05361587579371821,-0.05988340327627591,0.01045928972479568,8,-0.007591536183639568,-0.007605712461603927,-0.007256117819820192,-0.008849601788212418,-0.007293659504948165,-0.007719325551644854,0.000583526419947839,6
9,279.81238584518434,69.41671871798022,0.2312938690185547,0.002129754823894472,500,{'n_estimators': 500},0.7968705932219119,0.7888107776045956,0.8036986575544114,0.7644492712557646,0.8193611071572666,0.7946380813587901,0.018130790822950667,6,-0.06973450251765523,-0.05054094436165786,-0.04709832298284225,-0.06948126961019736,-0.0558122558924554,-0.058533459072961626,0.00945902220494992,3,-0.007868666750000416,-0.0076744356272021655,-0.00685295773878671,-0.0076837126760081415,-0.006937311212855009,-0.007403416800970487,0.0004216003072153035,3
